"cliente"
"Joaquim Mieiro"
"Joaquim Mieiro"
"Flamínia Miera"
"Brígida Gusmão"
"Dinarte Tabares"
"Cecília Carlos"
"Antão Corte-Real"
"Joaquim Mieiro"
"Flamínia Miera"
"Antónia Canhão"
"Alexandra Tabares"
"Dinarte Marino"
"Cândida Silvestre"
"Antão Corte-Real"
"Cecília Carlos"
"Cecília Carlos"
"Diogo Simón"
"Elsa Barreto"
"Hermígio Villaverde"
"Gisela Bahia"
"Davide Alcántara"
"Israel Canela"
"Joaquim Mieiro"
"Joaquim Mieiro"
"Herculano Viveiros"
"Alexandra Tabares"
"Dinarte Marino"
"Gertrudes Infante"
"Dinarte Tabares"
"Cecília Carlos"
"Hermígio Villaverde"
"Hermígio Villaverde"
"Joaquim Mieiro"
"Joaquim Mieiro"
"Antónia Canhão"
"Diogo Simón"
"Alexandra Tabares"
"Capitolina Ruela"
"Hermígio Villaverde"
"Joaquim Mieiro"
"Flamínia Miera"
"Brígida Gusmão"
"Godofredo Quiroga"
"Alfredo Cotrim"
"Gertrudes Infante"
"Cecília Carlos"
"Cecília Carlos"
"Joaquim Mieiro"
"Aldo Martins"
"Dinarte Marino"
"Cândida Silvestre"
"Dinarte Tabares"
"Hermígio Villaverde"
"Israel Canela"
"Aldo Martins"
"Alexandra Tabares"
"Dinarte Marino"
"Cândida Silvestre"
"Alfredo Cotrim"
"Cecília Carlos"
"Diogo Simón"
"Hermígio Villaverde"
"Elsa Barreto"
"Elsa Barreto"
"Davide Alcántara"
"Capitolina Ruela"
"Godofredo Quiroga"
"Cândida Silvestre"
"Dinarte Tabares"
"Cecília Carlos"
"Antão Corte-Real"
"Hermígio Villaverde"
"Custódio Rolim"
"Godinho ou Godim Jácome"
"Guida Beiriz"
"Diogo Simón"
"Joaquim Mieiro"
"Alexandra Tabares"
"Cândida Silvestre"
"Elsa Barreto"
"Davide Alcántara"
"Hermígio Villaverde"
"Gisela Bahia"
"Joaquim Mieiro"
"Joaquim Mieiro"
"Brígida Gusmão"
"Antão Corte-Real"
"Godofredo Quiroga"
"Dinarte Tabares"
"Ilduara Chávez"
"Antónia Canhão"
"Bernardete Tavera"
"Dinarte Marino"
"Cecília Carlos"
"Brígida Gusmão"
"Antônio Sobral"
"Dinarte Marino"
"David Carvalhais"
"Ilduara Chávez"
"Antero Milheiro"
"Aníbal Bastos"
"Honorina Camarinho"
"Belmira Colaço"
"Cosme Ipanema"
"Antônio Sobral"
"Dinarte Marino"
"Dinarte Marino"
"David Carvalhais"
"Irene Villanueva"
"Ilduara Chávez"
"Bernardete Tavera"
"Davide Alcántara"
"Flávia Campos"
"Brígida Gusmão"
"Belmira Colaço"
"Dinarte Marino"
"Gertrudes Hidalgo"
"Gertrudes Infante"
"David Carvalhais"
"Ilduara Chávez"
"Antão Corte-Real"
"Bernardete Tavera"
"Davide Alcántara"
"Davide Alcántara"
"Filipa Mattozo"
"Ilduara Chávez"
"Antão Corte-Real"
"Brenda Serralheiro"
"Antónia Canhão"
"Gertrudes Infante"
"Bernardete Tavera"
"Davide Alcántara"
"Flávia Campos"
"Brenda Serralheiro"
"Belmira Colaço"
"Belmira Colaço"
"Dinarte Marino"
"Dinarte Marino"
"Dinarte Marino"
"Gertrudes Hidalgo"
"Gertrudes Hidalgo"
"Gertrudes Infante"
"Irene Villanueva"
"Antónia Canhão"
"Irene Villanueva"
"Filipa Mattozo"
"Antero Milheiro"
"Davide Alcántara"
"Davide Alcántara"
"Ilduara Chávez"
"Antão Corte-Real"
"Belmira Colaço"
"Dinarte Marino"
"Cândida Silvestre"
"Gertrudes Hidalgo"
"Gertrudes Infante"
"Cosme Ipanema"
"Humberto Almeida"
"Honorina Camarinho"
"Filipa Mattozo"
"Brígida Gusmão"
"Belmira Colaço"
"Antónia Canhão"
"Dinarte Marino"
"Cândida Silvestre"
"Gertrudes Hidalgo"
"Gertrudes Infante"
"Ilduara Chávez"
"Francisco Medina"
"Derli Lozada"
"Diogo Simón"
"Gisela Candeias"
"Antónia Canhão"
"Cid Pardo"
"Hermígio Cezar"
"Gisela Candeias"
"Gisela Candeias"
"Cid Pardo"
"Hermígio Villaverde"
"Gisela Bahia"
"Cidália Miera"
"Joaquim Mieiro"
"Joaquim Mieiro"
"Brígida Gusmão"
"Cláudio Lopes"
"Gertrudes Hidalgo"
"Gertrudes Hidalgo"
"Gertrudes Infante"
"Florinda Assunção"
"Cosme Ipanema"
"Cecília Carlos"
"Cecília Carlos"
"Hermígio Villaverde"
"Cidália Miera"
"Joaquim Mieiro"
"Brígida Gusmão"
"Gisela Candeias"
"Gisela Candeias"
"Amadeu Martinho"
"David Brás"
"Alexandra Tabares"
"Dinarte Marino"
"Gertrudes Infante"
"Florinda Assunção"
"Cosme Ipanema"
"Cosme Ipanema"
"Greice Lameirinhas"
"Elsa Barreto"
"Guadalupe Rodrigues"
"Hermígio Villaverde"
"Gisela Bahia"
"Brígida Gusmão"
"Dinarte Marino"
"Cândido Sousa do Prado"
"Gertrudes Hidalgo"
"Gertrudes Infante"
"Cecília Carlos"
"Cecília Carlos"
"Carlos Murici"
"Joaquim Mieiro"
"Eusébio Mata"
"Gertrudes Hidalgo"
"Cosme Ipanema"
"Carlos Murici"
"Ilduara Chávez"
"Diogo Simón"
"Francisco Medina"
"Joaquim Mieiro"
"Alexandra Tabares"
"Dinarte Marino"
"Gertrudes Hidalgo"
"Gertrudes Infante"
"Florinda Assunção"
"Cosme Ipanema"
"Ilduara Chávez"
"Hermígio Villaverde"
"Francisco Medina"
"Hermígio Cezar"
"Gisela Candeias"
"Amadeu Martinho"
"Cid Pardo"
"Ilduara Chávez"
"Ilduara Chávez"
"Alexandra Tabares"
"Cláudio Lopes"
